dependency_id,app_id,library_name,version,risk_status,risk_type,severity,cve_ids,is_false_positive_trap,explanation
DEP-0011,APP-001,org.thymeleaf:thymeleaf,2.2.9,AT_RISK,unmaintained,LOW,,True,"org.thymeleaf:thymeleaf has had no release in 1091 days (~2 years) and has 25 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0012,APP-001,com.zaxxer:HikariCP,2.11.7,CLEAN,none,NONE,,True,"com.zaxxer:HikariCP@2.11.7 falls inside the published affected range for CVE-2022-1180,CVE-2025-1096, BUT this build carries a backported fix. A naive version-matching scanner raises a FALSE POSITIVE here; it is not vulnerable."
DEP-0013,APP-001,xerces:xercesImpl,1.0.0,AT_RISK,vulnerable_dependency,HIGH,CVE-2025-1099,False,"xerces:xercesImpl@1.0.0 is affected by 1 known vulnerability(ies); the worst is CVE-2025-1099 (CVSS 7.4, HIGH). A patch is available."
DEP-0014,APP-001,io.netty:netty-common,3.3.1,AT_RISK,vulnerable_dependency,MEDIUM,CVE-2019-1087;CVE-2025-1156,False,"io.netty:netty-common@3.3.1 is affected by 2 known vulnerability(ies); the worst is CVE-2019-1087 (CVSS 5.5, MEDIUM). A patch is available."
DEP-0015,APP-001,debug,4.2.3,AT_RISK,license_conflict,HIGH,,False,"GPL-2.0 is viral copyleft, and this application is proprietary AND distributed. Linking it compels disclosure of the entire work."
DEP-0016,APP-001,boto3,1.6.8,AT_RISK,license_conflict,MEDIUM,,False,"MPL-2.0 carries file-level copyleft: because we modified its files, those files must be released under the same license."
DEP-0017,APP-001,decode-uri-component,4.4.9,AT_RISK,license_conflict,MEDIUM,,False,"LGPL-2.1 permits dynamic linking from proprietary code, but this dependency is statically linked — which triggers the copyleft obligation."
DEP-0018,APP-001,beautifulsoup4,3.3.6,AT_RISK,license_conflict,HIGH,,False,"GPL-3.0 is viral copyleft, and this application is proprietary AND distributed. Linking it compels disclosure of the entire work."
DEP-0019,APP-001,cookie-parser,5.5.4,AT_RISK,license_conflict,MEDIUM,,False,"MPL-2.0 carries file-level copyleft: because we modified its files, those files must be released under the same license."
DEP-0020,APP-001,serialize-javascript,6.17.2,AT_RISK,license_conflict,MEDIUM,,False,"LGPL-3.0 permits dynamic linking from proprietary code, but this dependency is statically linked — which triggers the copyleft obligation."
DEP-0021,APP-001,org.springframework:spring-core,2.11.7,AT_RISK,unmaintained,LOW,,False,"org.springframework:spring-core has had no release in 1652 days (~4 years) and has 8 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0022,APP-001,commons-collections:commons-collections,1.4.7,AT_RISK,unmaintained,MEDIUM,,False,"commons-collections:commons-collections has had no release in 1271 days (~3 years) and has 1 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0023,APP-001,com.h2database:h2,0.3.12,AT_RISK,unmaintained,LOW,,False,"com.h2database:h2 has had no release in 1720 days (~4 years) and has 10 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0024,APP-001,org.yaml:snakeyaml,0.1.12,AT_RISK,unmaintained,LOW,,False,"org.yaml:snakeyaml has had no release in 877 days (~2 years) and has 3 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0025,APP-001,mysql:mysql-connector-java,5.12.9,AT_RISK,unmaintained,LOW,,False,"mysql:mysql-connector-java has had no release in 1866 days (~5 years) and has 20 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0026,APP-001,commons-codec:commons-codec,2.13.0,AT_RISK,unmaintained,LOW,,False,"commons-codec:commons-codec has had no release in 1905 days (~5 years) and has 9 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0027,APP-001,org.quartz-scheduler:quartz,3.3.0,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0028,APP-001,io.netty:netty-handler,4.0.1,AT_RISK,transitive_vulnerability,HIGH,CVE-2020-1052;CVE-2021-1108;CVE-2021-1123;CVE-2023-1111;CVE-2023-44487,False,"io.netty:netty-handler@4.0.1 is affected by 5 known vulnerability(ies); the worst is CVE-2023-44487 (CVSS 7.5, HIGH). It is reached TRANSITIVELY via org.quartz-scheduler:quartz, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0029,APP-001,org.springframework:spring-web,5.13.8,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0030,APP-001,org.freemarker:freemarker,2.5.3,AT_RISK,transitive_vulnerability,HIGH,CVE-2019-1139;CVE-2022-1185,False,"org.freemarker:freemarker@2.5.3 is affected by 2 known vulnerability(ies); the worst is CVE-2022-1185 (CVSS 7.7, HIGH). It is reached TRANSITIVELY via org.springframework:spring-web, so it is invisible to any review of direct dependencies. NO upstream patch exists — this library must be REPLACED, not upgraded."
DEP-0031,APP-001,org.slf4j:slf4j-api,1.2.2,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0032,APP-001,org.apache.struts:struts2-core,0.3.8,AT_RISK,unmaintained,MEDIUM,,False,"org.apache.struts:struts2-core has had no release in 1721 days (~4 years) and has 1 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0033,APP-001,org.bouncycastle:bcprov-jdk15on,4.2.2,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0034,APP-001,paramiko,5.3.9,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0035,APP-001,semver-regex,4.11.3,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0036,APP-001,lxml,2.14.6,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0037,APP-001,cryptography,4.20.6,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0038,APP-001,glob-parent,0.0.2,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0039,APP-001,nth-check,3.10.3,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0040,APP-001,setuptools,3.1.3,CLEAN,none,NONE,,False,LGPL-3.0 dynamically linked and unmodified — fully compliant.
DEP-0041,APP-001,tornado,2.3.1,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0042,APP-001,react-dom,4.20.3,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0043,APP-001,js-yaml,3.7.11,CLEAN,none,NONE,,False,LGPL-2.1 dynamically linked and unmodified — fully compliant.
DEP-0044,APP-001,certifi,1.4.11,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0045,APP-001,click,3.16.6,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0046,APP-001,setuptools,1.12.4,CLEAN,none,NONE,,False,LGPL-3.0 dynamically linked and unmodified — fully compliant.
DEP-0047,APP-001,boto3,3.0.9,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0048,APP-001,js-yaml,5.14.9,CLEAN,none,NONE,,False,LGPL-2.1 dynamically linked and unmodified — fully compliant.
DEP-0049,APP-001,boto3,3.3.1,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0050,APP-001,setuptools,3.4.9,CLEAN,none,NONE,,False,LGPL-3.0 dynamically linked and unmodified — fully compliant.
DEP-0051,APP-002,vm2,2.3.1,AT_RISK,vulnerable_dependency,CRITICAL,CVE-2023-37903,False,"vm2@2.3.1 is affected by 1 known vulnerability(ies); the worst is CVE-2023-37903 (CVSS 9.8, CRITICAL). A patch is available."
DEP-0052,APP-002,serialize-javascript,4.1.1,AT_RISK,vulnerable_dependency,CRITICAL,CVE-2021-1110;CVE-2022-1016,False,"serialize-javascript@4.1.1 is affected by 2 known vulnerability(ies); the worst is CVE-2022-1016 (CVSS 9.4, CRITICAL). A patch is available."
DEP-0053,APP-002,ejs,1.6.0,AT_RISK,vulnerable_dependency,HIGH,CVE-2019-1167;CVE-2020-1064,False,"ejs@1.6.0 is affected by 2 known vulnerability(ies); the worst is CVE-2020-1064 (CVSS 8.4, HIGH). NO upstream patch exists — this library must be REPLACED, not upgraded."
DEP-0054,APP-002,cookie-parser,1.2.7,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0055,APP-002,socket.io,3.10.3,AT_RISK,vulnerable_dependency,HIGH,CVE-2023-1068;CVE-2024-1032;CVE-2025-1038;CVE-2025-1091,False,"socket.io@3.10.3 is affected by 4 known vulnerability(ies); the worst is CVE-2025-1038 (CVSS 7.7, HIGH). A patch is available."
DEP-0056,APP-002,left-pad,0.12.4,AT_RISK,vulnerable_dependency,HIGH,CVE-2020-1023;CVE-2020-1060;CVE-2020-1170,False,"left-pad@0.12.4 is affected by 3 known vulnerability(ies); the worst is CVE-2020-1170 (CVSS 8.6, HIGH). A patch is available."
DEP-0057,APP-002,marked,2.7.6,AT_RISK,vulnerable_dependency,MEDIUM,CVE-2020-1030;CVE-2020-1116;CVE-2023-1094,False,"marked@2.7.6 is affected by 3 known vulnerability(ies); the worst is CVE-2023-1094 (CVSS 5.6, MEDIUM). NO upstream patch exists — this library must be REPLACED, not upgraded."
DEP-0058,APP-002,lodash,5.12.8,AT_RISK,vulnerable_dependency,MEDIUM,CVE-2020-1124,False,"lodash@5.12.8 is affected by 1 known vulnerability(ies); the worst is CVE-2020-1124 (CVSS 5.2, MEDIUM). A patch is available."
DEP-0059,APP-002,qs,3.8.8,AT_RISK,vulnerable_dependency,CRITICAL,CVE-2019-1010;CVE-2019-1048;CVE-2021-1166;CVE-2024-1036;CVE-2024-1188;CVE-2025-1181,False,"qs@3.8.8 is affected by 6 known vulnerability(ies); the worst is CVE-2025-1181 (CVSS 9.2, CRITICAL). A patch is available."
DEP-0060,APP-002,axios,2.13.9,AT_RISK,vulnerable_dependency,HIGH,CVE-2019-1174;CVE-2021-1162;CVE-2023-1044;CVE-2023-1122;CVE-2025-1127;CVE-2025-1134,False,"axios@2.13.9 is affected by 6 known vulnerability(ies); the worst is CVE-2021-1162 (CVSS 8.5, HIGH). A patch is available."
DEP-0061,APP-002,trim-newlines,1.10.4,AT_RISK,license_conflict,HIGH,,False,"GPL-3.0 is viral copyleft, and this application is proprietary AND distributed. Linking it compels disclosure of the entire work."
DEP-0062,APP-002,io.jsonwebtoken:jjwt,6.22.1,AT_RISK,license_conflict,CRITICAL,,False,AGPL-3.0 is network copyleft: merely SERVING this proprietary application to users triggers the obligation to publish the complete source of the combined work.
DEP-0063,APP-002,y18n,3.5.5,AT_RISK,license_conflict,HIGH,,False,"No license is declared. Under copyright law that grants NO rights at all — the library may not lawfully be used, redistributed or modified."
DEP-0064,APP-002,starlette,4.4.5,AT_RISK,license_conflict,HIGH,,False,"No license is declared. Under copyright law that grants NO rights at all — the library may not lawfully be used, redistributed or modified."
DEP-0065,APP-002,shell-quote,4.18.1,AT_RISK,license_conflict,HIGH,,False,"No license is declared. Under copyright law that grants NO rights at all — the library may not lawfully be used, redistributed or modified."
DEP-0066,APP-002,org.postgresql:postgresql,5.1.8,AT_RISK,license_conflict,HIGH,,False,"GPL-3.0 is viral copyleft, and this application is proprietary AND distributed. Linking it compels disclosure of the entire work."
DEP-0067,APP-002,postcss,2.8.12,AT_RISK,unmaintained,LOW,,False,"postcss has had no release in 903 days (~2 years) and has 14 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0068,APP-002,ws,5.15.8,AT_RISK,unmaintained,LOW,,False,"ws has had no release in 1247 days (~3 years) and has 19 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0069,APP-002,express,2.13.3,AT_RISK,unmaintained,LOW,,False,"express has had no release in 1763 days (~4 years) and has 3 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0070,APP-002,jsonwebtoken,5.19.7,AT_RISK,unmaintained,LOW,,False,"jsonwebtoken has had no release in 950 days (~2 years) and has 5 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0071,APP-002,xmldom,0.10.1,AT_RISK,unmaintained,MEDIUM,,False,"xmldom has had no release in 1146 days (~3 years) and has 1 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0072,APP-002,underscore,2.20.1,AT_RISK,unmaintained,MEDIUM,,False,"underscore has had no release in 778 days (~2 years) and has 1 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0073,APP-002,js-yaml,0.11.8,CLEAN,none,NONE,,False,LGPL-2.1 dynamically linked and unmodified — fully compliant.
DEP-0074,APP-002,body-parser,1.1.5,AT_RISK,transitive_vulnerability,HIGH,CVE-2025-1137,False,"body-parser@1.1.5 is affected by 1 known vulnerability(ies); the worst is CVE-2025-1137 (CVSS 8.9, HIGH). It is reached TRANSITIVELY via js-yaml, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0075,APP-002,nth-check,0.3.2,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0076,APP-002,babel-core,1.8.1,AT_RISK,transitive_vulnerability,CRITICAL,CVE-2022-1077;CVE-2022-1153;CVE-2025-1042,False,"babel-core@1.8.1 is affected by 3 known vulnerability(ies); the worst is CVE-2022-1077 (CVSS 9.2, CRITICAL). It is reached TRANSITIVELY via nth-check, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0077,APP-002,glob-parent,1.9.2,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0078,APP-002,minimist,0.4.9,AT_RISK,transitive_vulnerability,HIGH,CVE-2023-1168,False,"minimist@0.4.9 is affected by 1 known vulnerability(ies); the worst is CVE-2023-1168 (CVSS 7.0, HIGH). It is reached TRANSITIVELY via glob-parent, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0079,APP-002,decode-uri-component,2.10.2,CLEAN,none,NONE,,False,LGPL-2.1 dynamically linked and unmodified — fully compliant.
DEP-0080,APP-002,handlebars,2.1.8,AT_RISK,transitive_vulnerability,HIGH,CVE-2020-1126;CVE-2020-1141;CVE-2022-1138;CVE-2023-1019;CVE-2025-1089,False,"handlebars@2.1.8 is affected by 5 known vulnerability(ies); the worst is CVE-2025-1089 (CVSS 8.2, HIGH). It is reached TRANSITIVELY via decode-uri-component, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0081,APP-002,semver-regex,4.9.6,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0082,APP-002,tar,2.7.6,AT_RISK,transitive_vulnerability,MEDIUM,CVE-2019-1084,False,"tar@2.7.6 is affected by 1 known vulnerability(ies); the worst is CVE-2019-1084 (CVSS 6.4, MEDIUM). It is reached TRANSITIVELY via semver-regex, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0083,APP-002,react-dom,0.12.1,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0084,APP-002,click,4.14.12,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0085,APP-002,lxml,0.10.8,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0086,APP-002,org.apache.logging.log4j:log4j-api,2.13.7,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0087,APP-002,paramiko,0.8.12,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0088,APP-002,org.quartz-scheduler:quartz,3.7.1,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0089,APP-002,org.bouncycastle:bcprov-jdk15on,2.11.1,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0090,APP-002,setuptools,0.1.3,CLEAN,none,NONE,,False,LGPL-3.0 dynamically linked and unmodified — fully compliant.
DEP-0091,APP-002,boto3,5.16.6,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0092,APP-002,certifi,3.8.0,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0093,APP-002,tornado,1.12.10,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0094,APP-002,org.springframework.boot:spring-boot-starter-logging,5.9.10,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0095,APP-002,org.slf4j:slf4j-api,4.14.5,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0096,APP-002,cryptography,1.5.5,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0097,APP-002,org.springframework:spring-web,4.17.7,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0098,APP-002,semver-regex,5.3.7,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0099,APP-002,org.apache.logging.log4j:log4j-api,5.0.9,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0100,APP-002,org.springframework.boot:spring-boot-starter-logging,3.18.8,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0101,APP-003,urllib3,0.6.0,AT_RISK,vulnerable_dependency,MEDIUM,CVE-2021-33503,False,"urllib3@0.6.0 is affected by 1 known vulnerability(ies); the worst is CVE-2021-33503 (CVSS 5.3, MEDIUM). A patch is available."
DEP-0102,APP-003,chardet,2.5.7,AT_RISK,unmaintained,MEDIUM,,True,"chardet has had no release in 1738 days (~4 years) and has 1 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0103,APP-003,django,3.7.6,AT_RISK,vulnerable_dependency,HIGH,CVE-2021-1097;CVE-2022-1135;CVE-2023-1041;CVE-2023-1092;CVE-2023-1098;CVE-2024-1171;CVE-2025-1035;CVE-2025-1149,False,"django@3.7.6 is affected by 8 known vulnerability(ies); the worst is CVE-2021-1097 (CVSS 8.7, HIGH). A patch is available."
DEP-0104,APP-003,pydantic,1.5.4,AT_RISK,vulnerable_dependency,HIGH,CVE-2019-1008;CVE-2019-1017;CVE-2023-1128;CVE-2023-1189;CVE-2025-1004,False,"pydantic@1.5.4 is affected by 5 known vulnerability(ies); the worst is CVE-2023-1128 (CVSS 7.4, HIGH). NO upstream patch exists — this library must be REPLACED, not upgraded."
DEP-0105,APP-003,numpy,1.3.2,AT_RISK,vulnerable_dependency,MEDIUM,CVE-2021-1009,False,"numpy@1.3.2 is affected by 1 known vulnerability(ies); the worst is CVE-2021-1009 (CVSS 6.9, MEDIUM). A patch is available."
DEP-0106,APP-003,sqlalchemy,2.3.1,AT_RISK,vulnerable_dependency,HIGH,CVE-2019-1054;CVE-2021-1125;CVE-2022-1161;CVE-2023-1158;CVE-2024-1093;CVE-2025-1034,False,"sqlalchemy@2.3.1 is affected by 6 known vulnerability(ies); the worst is CVE-2023-1158 (CVSS 7.1, HIGH). A patch is available."
DEP-0107,APP-003,werkzeug,4.14.8,AT_RISK,vulnerable_dependency,MEDIUM,CVE-2020-1051;CVE-2022-1082;CVE-2023-1002,False,"werkzeug@4.14.8 is affected by 3 known vulnerability(ies); the worst is CVE-2023-1002 (CVSS 5.1, MEDIUM). A patch is available."
DEP-0108,APP-003,flask,4.6.2,AT_RISK,unmaintained,LOW,,True,"flask has had no release in 1247 days (~3 years) and has 4 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0109,APP-003,scikit-learn,0.1.1,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0110,APP-003,pyyaml,2.15.6,AT_RISK,vulnerable_dependency,HIGH,CVE-2020-1018;CVE-2021-1006;CVE-2022-1085,False,"pyyaml@2.15.6 is affected by 3 known vulnerability(ies); the worst is CVE-2022-1085 (CVSS 7.9, HIGH). A patch is available."
DEP-0111,APP-003,async,6.20.0,AT_RISK,license_conflict,MEDIUM,,False,"EPL-2.0 carries file-level copyleft: because we modified its files, those files must be released under the same license."
DEP-0112,APP-003,qs,6.19.0,AT_RISK,license_conflict,MEDIUM,,False,"MPL-2.0 carries file-level copyleft: because we modified its files, those files must be released under the same license."
DEP-0113,APP-003,org.quartz-scheduler:quartz,0.12.1,AT_RISK,license_conflict,MEDIUM,,False,"EPL-2.0 carries file-level copyleft: because we modified its files, those files must be released under the same license."
DEP-0114,APP-003,fastapi,5.6.1,AT_RISK,license_conflict,MEDIUM,,False,"LGPL-2.1 permits dynamic linking from proprietary code, but this dependency is statically linked — which triggers the copyleft obligation."
DEP-0115,APP-003,io.jsonwebtoken:jjwt,6.22.4,AT_RISK,license_conflict,CRITICAL,,False,AGPL-3.0 is network copyleft: merely SERVING this proprietary application to users triggers the obligation to publish the complete source of the combined work.
DEP-0116,APP-003,marked,3.2.11,AT_RISK,vulnerable_dependency,HIGH,CVE-2020-1030;CVE-2020-1116;CVE-2021-1095;CVE-2023-1094;CVE-2025-1043,False,"marked@3.2.11 is affected by 5 known vulnerability(ies); the worst is CVE-2025-1043 (CVSS 7.7, HIGH). A patch is available."
DEP-0117,APP-003,jinja2,2.6.2,AT_RISK,vulnerable_dependency,HIGH,CVE-2021-1037;CVE-2021-1172;CVE-2025-1144,False,"jinja2@2.6.2 is affected by 3 known vulnerability(ies); the worst is CVE-2021-1037 (CVSS 8.8, HIGH). NO upstream patch exists — this library must be REPLACED, not upgraded."
DEP-0118,APP-003,protobuf,1.19.6,AT_RISK,unmaintained,LOW,,False,"protobuf has had no release in 1019 days (~2 years) and has 14 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0119,APP-003,httpx,0.1.2,AT_RISK,unmaintained,LOW,,False,"httpx has had no release in 1304 days (~3 years) and has 20 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0120,APP-003,aiohttp,1.8.1,AT_RISK,unmaintained,LOW,,False,"aiohttp has had no release in 891 days (~2 years) and has 12 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0121,APP-003,six,3.4.12,AT_RISK,unmaintained,MEDIUM,,False,"six has had no release in 2176 days (~5 years) and has 1 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0122,APP-003,python-jose,2.4.1,AT_RISK,unmaintained,LOW,,False,"python-jose has had no release in 1754 days (~4 years) and has 22 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0123,APP-003,grpcio,1.9.3,AT_RISK,unmaintained,LOW,,False,"grpcio has had no release in 806 days (~2 years) and has 2 maintainer(s). There is no known CVE today, but there is no process to fix one tomorrow. This is bus-factor risk."
DEP-0124,APP-003,cryptography,3.13.3,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0125,APP-003,matplotlib,1.15.4,AT_RISK,transitive_vulnerability,MEDIUM,CVE-2019-1157;CVE-2024-1151,False,"matplotlib@1.15.4 is affected by 2 known vulnerability(ies); the worst is CVE-2024-1151 (CVSS 6.7, MEDIUM). It is reached TRANSITIVELY via cryptography, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0126,APP-003,setuptools,3.0.9,CLEAN,none,NONE,,False,LGPL-3.0 dynamically linked and unmodified — fully compliant.
DEP-0127,APP-003,scipy,2.12.4,AT_RISK,transitive_vulnerability,CRITICAL,CVE-2021-1045;CVE-2022-1132;CVE-2023-1069;CVE-2025-1056,False,"scipy@2.12.4 is affected by 4 known vulnerability(ies); the worst is CVE-2021-1045 (CVSS 9.2, CRITICAL). It is reached TRANSITIVELY via setuptools, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0128,APP-003,lxml,1.12.6,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
DEP-0129,APP-003,redis,0.9.8,AT_RISK,transitive_vulnerability,MEDIUM,CVE-2025-1120,False,"redis@0.9.8 is affected by 1 known vulnerability(ies); the worst is CVE-2025-1120 (CVSS 6.9, MEDIUM). It is reached TRANSITIVELY via lxml, so it is invisible to any review of direct dependencies. A patch is available."
DEP-0130,APP-003,click,1.16.10,CLEAN,none,NONE,,False,"No known vulnerabilities, compatible license, actively maintained."
