dependency_id,app_id,app_name,library_name,version,ecosystem,license,dependency_type,parent_library,depth,last_updated,maintainer_count,has_security_policy,repo_stars,patched_in_build,vulnerable_function_used,linkage,modified_by_us
DEP-0086,APP-002,CustomerPortal-Web,org.apache.logging.log4j:log4j-api,2.13.7,maven,Apache-2.0,direct,,1,2025-12-12,22,True,3888,False,False,dynamic,False
DEP-0087,APP-002,CustomerPortal-Web,paramiko,0.8.12,pypi,Apache-2.0,direct,,1,2026-06-16,15,True,13744,False,False,dynamic,False
DEP-0088,APP-002,CustomerPortal-Web,org.quartz-scheduler:quartz,3.7.1,maven,EPL-2.0,transitive,,1,2026-04-12,3,False,39678,False,True,dynamic,False
DEP-0089,APP-002,CustomerPortal-Web,org.bouncycastle:bcprov-jdk15on,2.11.1,maven,ISC,direct,,1,2026-05-19,11,True,54756,False,True,dynamic,False
DEP-0090,APP-002,CustomerPortal-Web,setuptools,0.1.3,pypi,LGPL-3.0,direct,,1,2026-05-20,20,True,36736,False,True,dynamic,False
DEP-0091,APP-002,CustomerPortal-Web,boto3,5.16.6,pypi,MPL-2.0,transitive,,1,2026-04-24,8,True,50015,False,False,dynamic,False
DEP-0092,APP-002,CustomerPortal-Web,certifi,3.8.0,pypi,Unlicense,direct,,1,2026-05-04,21,True,6641,False,False,dynamic,False
DEP-0093,APP-002,CustomerPortal-Web,tornado,1.12.10,pypi,MPL-2.0,direct,,1,2026-04-07,7,True,2754,False,False,dynamic,False
DEP-0094,APP-002,CustomerPortal-Web,org.springframework.boot:spring-boot-starter-logging,5.9.10,maven,Apache-2.0,direct,,1,2024-11-17,24,True,26390,False,True,dynamic,False
DEP-0095,APP-002,CustomerPortal-Web,org.slf4j:slf4j-api,4.14.5,maven,PSF-2.0,direct,,1,2026-04-02,7,True,24582,False,False,dynamic,False
DEP-0096,APP-002,CustomerPortal-Web,cryptography,1.5.5,pypi,MIT,direct,,1,2026-02-13,13,True,36539,False,True,dynamic,False
DEP-0097,APP-002,CustomerPortal-Web,org.springframework:spring-web,4.17.7,maven,Apache-2.0,transitive,,1,2026-05-17,22,True,37544,False,False,dynamic,False
DEP-0098,APP-002,CustomerPortal-Web,semver-regex,5.3.7,npm,BSD-2-Clause,transitive,,1,2026-04-18,18,True,4945,False,True,dynamic,False
DEP-0099,APP-002,CustomerPortal-Web,org.apache.logging.log4j:log4j-api,5.0.9,maven,Apache-2.0,transitive,,1,2025-12-12,22,True,3888,False,False,dynamic,False
DEP-0100,APP-002,CustomerPortal-Web,org.springframework.boot:spring-boot-starter-logging,3.18.8,maven,Apache-2.0,transitive,,1,2024-11-17,24,True,26390,False,False,dynamic,False
DEP-0101,APP-003,FraudDetection-Engine,urllib3,0.6.0,pypi,MIT,direct,,1,2026-05-21,14,True,31249,False,True,dynamic,False
DEP-0102,APP-003,FraudDetection-Engine,chardet,2.5.7,pypi,PSF-2.0,direct,,1,2021-10-07,1,False,20291,True,True,dynamic,False
DEP-0103,APP-003,FraudDetection-Engine,django,3.7.6,pypi,ISC,direct,,1,2023-03-02,25,False,3662,False,True,dynamic,False
DEP-0104,APP-003,FraudDetection-Engine,pydantic,1.5.4,pypi,EPL-2.0,direct,,1,2026-01-20,13,True,5834,False,True,dynamic,False
DEP-0105,APP-003,FraudDetection-Engine,numpy,1.3.2,pypi,GPL-2.0,direct,,1,2026-06-03,18,True,18283,False,False,dynamic,False
DEP-0106,APP-003,FraudDetection-Engine,sqlalchemy,2.3.1,pypi,EPL-2.0,direct,,1,2025-06-12,20,True,55133,False,True,dynamic,False
DEP-0107,APP-003,FraudDetection-Engine,werkzeug,4.14.8,pypi,GPL-3.0,direct,,1,2025-11-15,22,True,23236,False,True,dynamic,False
DEP-0108,APP-003,FraudDetection-Engine,flask,4.6.2,pypi,GPL-3.0,direct,,1,2023-02-10,4,False,43748,True,True,dynamic,False
DEP-0109,APP-003,FraudDetection-Engine,scikit-learn,0.1.1,pypi,BSD-3-Clause,direct,,1,2025-09-22,16,True,15769,False,False,dynamic,False
DEP-0110,APP-003,FraudDetection-Engine,pyyaml,2.15.6,pypi,PSF-2.0,direct,,1,2025-11-03,17,True,45303,False,False,dynamic,False
DEP-0111,APP-003,FraudDetection-Engine,async,6.20.0,npm,EPL-2.0,transitive,,1,2023-07-30,25,False,3348,False,False,static,True
DEP-0112,APP-003,FraudDetection-Engine,qs,6.19.0,npm,MPL-2.0,direct,,1,2026-02-09,17,True,11888,False,True,static,True
DEP-0113,APP-003,FraudDetection-Engine,org.quartz-scheduler:quartz,0.12.1,maven,EPL-2.0,transitive,,1,2026-04-12,3,False,39678,False,True,static,True
DEP-0114,APP-003,FraudDetection-Engine,fastapi,5.6.1,pypi,LGPL-2.1,direct,,1,2026-06-22,25,True,37660,False,True,static,True
DEP-0115,APP-003,FraudDetection-Engine,io.jsonwebtoken:jjwt,6.22.4,maven,AGPL-3.0,transitive,,1,2025-06-02,5,True,54696,False,False,static,False
DEP-0116,APP-003,FraudDetection-Engine,marked,3.2.11,npm,EPL-2.0,direct,,1,2025-10-30,17,True,30861,False,True,static,True
DEP-0117,APP-003,FraudDetection-Engine,jinja2,2.6.2,pypi,GPL-3.0,direct,,1,2026-04-27,5,True,43934,False,False,dynamic,False
DEP-0118,APP-003,FraudDetection-Engine,protobuf,1.19.6,pypi,MIT,direct,,1,2023-09-26,14,False,2839,False,True,dynamic,False
DEP-0119,APP-003,FraudDetection-Engine,httpx,0.1.2,pypi,MPL-2.0,transitive,,1,2022-12-15,20,False,10334,False,False,dynamic,False
DEP-0120,APP-003,FraudDetection-Engine,aiohttp,1.8.1,pypi,Apache-2.0,transitive,,1,2024-02-01,12,False,57099,False,False,dynamic,False
DEP-0121,APP-003,FraudDetection-Engine,six,3.4.12,pypi,Apache-2.0,transitive,,1,2020-07-26,1,False,51985,False,True,dynamic,False
DEP-0122,APP-003,FraudDetection-Engine,python-jose,2.4.1,pypi,MIT,direct,,1,2021-09-21,22,False,2613,False,True,dynamic,False
DEP-0123,APP-003,FraudDetection-Engine,grpcio,1.9.3,pypi,ISC,transitive,,1,2024-04-26,2,False,1816,False,True,dynamic,False
DEP-0124,APP-003,FraudDetection-Engine,cryptography,3.13.3,pypi,MIT,direct,,1,2026-02-13,13,True,36539,False,False,dynamic,False
DEP-0125,APP-003,FraudDetection-Engine,matplotlib,1.15.4,pypi,BSD-2-Clause,transitive,cryptography,2,2021-08-21,4,False,31819,False,True,dynamic,False
DEP-0126,APP-003,FraudDetection-Engine,setuptools,3.0.9,pypi,LGPL-3.0,direct,,1,2026-05-20,20,True,36736,False,False,dynamic,False
DEP-0127,APP-003,FraudDetection-Engine,scipy,2.12.4,pypi,LGPL-3.0,transitive,setuptools,2,2022-05-14,22,False,29827,False,False,dynamic,False
DEP-0128,APP-003,FraudDetection-Engine,lxml,1.12.6,pypi,BSD-3-Clause,direct,,1,2026-06-18,16,True,14213,False,False,dynamic,False
DEP-0129,APP-003,FraudDetection-Engine,redis,0.9.8,pypi,PSF-2.0,transitive,lxml,2,2022-09-27,16,False,44532,False,True,dynamic,False
DEP-0130,APP-003,FraudDetection-Engine,click,1.16.10,pypi,PSF-2.0,direct,,1,2026-04-25,16,True,4407,False,False,dynamic,False
DEP-0131,APP-003,FraudDetection-Engine,idna,3.2.7,pypi,BSD-2-Clause,transitive,click,2,2026-07-03,22,True,30052,False,True,dynamic,False
DEP-0132,APP-003,FraudDetection-Engine,tornado,5.6.12,pypi,MPL-2.0,direct,,1,2026-04-07,7,True,2754,False,False,dynamic,False
DEP-0133,APP-003,FraudDetection-Engine,vm2,2.12.5,npm,MIT,transitive,tornado,2,2026-02-01,7,True,57359,False,False,dynamic,False
DEP-0134,APP-003,FraudDetection-Engine,paramiko,0.11.9,pypi,Apache-2.0,transitive,,1,2026-06-16,15,True,13744,False,False,dynamic,False
DEP-0135,APP-003,FraudDetection-Engine,certifi,2.20.4,pypi,Unlicense,direct,,1,2026-05-04,21,True,6641,False,True,dynamic,False
DEP-0136,APP-003,FraudDetection-Engine,boto3,4.14.7,pypi,MPL-2.0,direct,,1,2026-04-24,8,True,50015,False,False,dynamic,False
DEP-0137,APP-003,FraudDetection-Engine,semver-regex,3.0.1,npm,BSD-2-Clause,transitive,,1,2026-04-18,18,True,4945,False,False,dynamic,False
DEP-0138,APP-003,FraudDetection-Engine,decode-uri-component,4.10.4,npm,LGPL-2.1,direct,,1,2026-06-18,18,True,5334,False,False,dynamic,False
DEP-0139,APP-003,FraudDetection-Engine,org.springframework.boot:spring-boot-starter-logging,3.9.2,maven,Apache-2.0,direct,,1,2024-11-17,24,True,26390,False,False,dynamic,False
DEP-0140,APP-003,FraudDetection-Engine,js-yaml,4.19.8,npm,LGPL-2.1,direct,,1,2026-05-17,17,True,52694,False,False,dynamic,False
DEP-0141,APP-003,FraudDetection-Engine,nth-check,0.4.5,npm,Unlicense,transitive,,1,2025-06-25,7,True,42750,False,False,dynamic,False
DEP-0142,APP-003,FraudDetection-Engine,org.apache.logging.log4j:log4j-api,5.3.3,maven,Apache-2.0,direct,,1,2025-12-12,22,True,3888,False,False,dynamic,False
DEP-0143,APP-003,FraudDetection-Engine,org.slf4j:slf4j-api,0.4.12,maven,PSF-2.0,direct,,1,2026-04-02,7,True,24582,False,False,dynamic,False
DEP-0144,APP-003,FraudDetection-Engine,react-dom,0.11.7,npm,PSF-2.0,direct,,1,2026-01-22,7,True,2834,False,True,dynamic,False
DEP-0145,APP-003,FraudDetection-Engine,org.bouncycastle:bcprov-jdk15on,3.16.6,maven,ISC,direct,,1,2026-05-19,11,True,54756,False,False,dynamic,False
DEP-0146,APP-003,FraudDetection-Engine,glob-parent,1.20.11,npm,Unlicense,transitive,,1,2024-12-20,9,True,30870,False,False,dynamic,False
DEP-0147,APP-003,FraudDetection-Engine,org.springframework:spring-web,5.13.0,maven,Apache-2.0,transitive,,1,2026-05-17,22,True,37544,False,False,dynamic,False
DEP-0148,APP-003,FraudDetection-Engine,lxml,3.9.1,pypi,BSD-3-Clause,direct,,1,2026-06-18,16,True,14213,False,True,dynamic,False
DEP-0149,APP-003,FraudDetection-Engine,nth-check,0.19.3,npm,Unlicense,direct,,1,2025-06-25,7,True,42750,False,False,dynamic,False
DEP-0150,APP-003,FraudDetection-Engine,react-dom,5.10.8,npm,PSF-2.0,direct,,1,2026-01-22,7,True,2834,False,True,dynamic,False
DEP-0151,APP-004,TradingDesk-Gateway,org.springframework.boot:spring-boot-starter-web,2.5.4,maven,Apache-2.0,direct,,1,2026-04-15,11,True,55198,False,False,dynamic,False
DEP-0152,APP-004,TradingDesk-Gateway,org.springframework.boot:spring-boot-starter-logging,2.5.4,maven,Apache-2.0,transitive,org.springframework.boot:spring-boot-starter-web,2,2024-11-17,24,True,26390,False,False,dynamic,False
DEP-0153,APP-004,TradingDesk-Gateway,org.apache.logging.log4j:log4j-core,2.14.1,maven,Apache-2.0,transitive,org.springframework.boot:spring-boot-starter-logging,3,2023-10-13,8,False,544,False,True,dynamic,False
DEP-0154,APP-004,TradingDesk-Gateway,org.apache.logging.log4j:log4j-api,2.14.1,maven,Apache-2.0,transitive,org.springframework.boot:spring-boot-starter-logging,3,2025-12-12,22,True,3888,False,False,dynamic,False
DEP-0155,APP-004,TradingDesk-Gateway,io.jsonwebtoken:jjwt,2.9.2,maven,AGPL-3.0,direct,,1,2025-06-02,5,True,54696,False,False,dynamic,False
DEP-0156,APP-004,TradingDesk-Gateway,com.fasterxml.jackson.core:jackson-core,2.15.8,maven,LGPL-2.1,direct,,1,2023-05-07,11,False,43199,False,False,dynamic,False
DEP-0157,APP-004,TradingDesk-Gateway,com.google.guava:guava,2.2.6,maven,BSD-2-Clause,direct,,1,2023-03-04,12,False,19129,False,False,dynamic,False
DEP-0158,APP-004,TradingDesk-Gateway,org.springframework:spring-beans,3.3.5,maven,Apache-2.0,direct,,1,2026-06-24,15,True,46164,False,True,dynamic,False
DEP-0159,APP-004,TradingDesk-Gateway,com.zaxxer:HikariCP,4.2.5,maven,Apache-2.0,direct,,1,2026-06-03,6,True,46920,False,False,dynamic,False
DEP-0160,APP-004,TradingDesk-Gateway,org.thymeleaf:thymeleaf,2.6.1,maven,BSD-2-Clause,direct,,1,2023-07-16,25,False,50452,False,False,dynamic,False
DEP-0161,APP-004,TradingDesk-Gateway,xerces:xercesImpl,2.0.2,maven,Unlicense,direct,,1,2022-07-19,1,False,42387,True,False,dynamic,False
DEP-0162,APP-004,TradingDesk-Gateway,io.netty:netty-handler,1.10.5,maven,Apache-2.0,direct,,1,2025-10-29,20,True,25535,False,False,dynamic,False
DEP-0163,APP-004,TradingDesk-Gateway,org.apache.commons:commons-text,1.5.3,maven,Apache-2.0,direct,,1,2024-05-18,13,False,5506,False,True,dynamic,False
DEP-0164,APP-004,TradingDesk-Gateway,com.fasterxml.jackson.core:jackson-databind,2.6.0,maven,Apache-2.0,direct,,1,2023-04-25,19,False,20278,False,False,dynamic,False
DEP-0165,APP-004,TradingDesk-Gateway,requests,2.3.5,pypi,UNKNOWN,direct,,1,2022-03-30,22,False,28362,False,False,dynamic,False
DEP-0166,APP-004,TradingDesk-Gateway,werkzeug,6.19.4,pypi,GPL-3.0,direct,,1,2025-11-15,22,True,23236,False,True,dynamic,False
DEP-0167,APP-004,TradingDesk-Gateway,decode-uri-component,1.18.4,npm,LGPL-2.1,transitive,,1,2026-06-18,18,True,5334,False,True,static,True
DEP-0168,APP-004,TradingDesk-Gateway,org.apache.kafka:kafka-clients,4.14.10,maven,AGPL-3.0,direct,,1,2026-01-13,15,True,10030,False,False,static,True
DEP-0169,APP-004,TradingDesk-Gateway,debug,0.18.3,npm,GPL-2.0,direct,,1,2025-03-21,3,False,24495,False,False,static,False
DEP-0170,APP-004,TradingDesk-Gateway,flatmap-stream,4.20.7,npm,LGPL-3.0,direct,,1,2021-02-08,1,False,21533,False,False,static,True
DEP-0171,APP-004,TradingDesk-Gateway,commons-codec:commons-codec,5.6.10,maven,BSD-3-Clause,direct,,1,2021-04-23,9,False,42240,False,False,dynamic,False
DEP-0172,APP-004,TradingDesk-Gateway,mysql:mysql-connector-java,5.9.0,maven,Apache-2.0,transitive,,1,2021-06-01,20,False,28872,False,True,dynamic,False
DEP-0173,APP-004,TradingDesk-Gateway,org.springframework:spring-core,1.8.0,maven,Apache-2.0,transitive,,1,2022-01-01,8,False,48031,False,True,dynamic,False
